label,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date
76,CAL451065601,2020-08-31T00:00:00.000Z,2020-10-21T00:00:00.000Z,51,Upside Down,['Mondo Cozmo'],,29001898,[198145],alternative americana,['2020-04-10T00:00:00.000Z']
77,GBUM72000984,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,None Of Us Are Getting Out Of This Life Alive (feat. IDLES),"['The Streets', 'IDLES']",40.0,30061128,"[215428, 486152]","birmingham hip hop,grime,uk garage,bristol indie",['2020-07-10T00:00:00.000Z']
78,QZK6G2019403,2020-11-07T00:00:00.000Z,2020-12-13T00:00:00.000Z,36,6789ten,['Sound of Kalima'],,31779658,[713655],,['2020-10-13T00:00:00.000Z']
79,GBGLW2000328,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,When You Want Me,['Speelburg'],0.0,29989568,[44310],,['2020-07-01T00:00:00.000Z']
80,USL4R2012293,2020-11-10T00:00:00.000Z,2020-12-13T00:00:00.000Z,33,Sing to Me of a Merry Christmas,['The Replicants'],,31893218,[3441372],,['2020-11-01T00:00:00.000Z']
81,QZ93L2002544,2020-08-31T00:00:00.000Z,2020-10-21T00:00:00.000Z,51,Love is Gone,['Local Nomad'],,28552426,[1437061],,['2020-07-10T00:00:00.000Z']
82,CAGYB2000006,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Look Me in the Eyes,['The Darcys'],,30994326,[116007],toronto indie,['2020-08-14T00:00:00.000Z']
83,QZK6N2030268,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,Dreaming,['Supreme Unbeing'],,31527856,[3729466],,['2020-10-02T00:00:00.000Z']
84,GBPVV2003257,2020-08-31T00:00:00.000Z,2020-10-21T00:00:00.000Z,51,Lemonade,"['Circa Waves', 'Alfie Templeman']",,31155450,"[4671, 812218]","english indie rock,indie rock,indie surf,liverpool indie,modern rock,rock",['2020-08-27T00:00:00.000Z']
85,USAT22000467,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Bury Me Alive,['Oliver Tree'],,29566342,[430760],alternative hip hop,['2020-05-26T00:00:00.000Z']
