index,added_at,cm_track,title,cm_artist,artists,release_date,days_on_playlist,artist1,artist2,cm_artist1,cm_artist2,spf_art1,spl_art1,sp_fcr_art1,spf_art2,spl_art2,sp_fcr_art2
47,2021-01-28,32598955,How Come?,[1139749],['Stray Fossa'],2021-01-19,26,Stray Fossa,,1139749,,1693.0,4300.0,39.372093023255815,,,
48,2021-01-28,32573583,Bobby,[4189094],['Camp Trash'],2021-01-22,26,Camp Trash,,4189094,,220.0,1556.0,14.138817480719796,,,
49,2021-02-04,32666108,Lala,[314375],['The Obsessives'],2021-01-25,19,The Obsessives,,314375,,18469.0,41155.0,44.87668570040093,,,
50,2021-02-11,32727466,Why Don't You Come Out Anymore?,[1337512],['The Natvral'],2021-02-02,12,The Natvral,,1337512,,466.0,520.0,89.61538461538461,,,
51,2021-02-04,32667022,Do or Die,[75756],['Catamaran'],2021-01-22,19,Catamaran,,75756,,635.0,763.0,83.22411533420708,,,
52,2021-01-14,32231258,Wired/Weird,[4122340],['Beige Banquet'],2020-12-11,40,Beige Banquet,,4122340,,,,,,,
53,2021-02-14,32548717,Impostor,[1371386],['Miss Grit'],2021-02-05,9,Miss Grit,,1371386,,1488.0,18619.0,7.991836296256512,,,
54,2021-02-04,32684220,Elephant in the Room,[3856407],['Kynsy'],2021-01-28,19,Kynsy,,3856407,,1144.0,15015.0,7.6190476190476195,,,
55,2021-02-04,32507809,Lantern,[3428594],['Waltzer'],2021-01-29,19,Waltzer,,3428594,,284.0,2278.0,12.467076382791923,,,
56,2021-02-04,32207611,I Know You're Wrong,[1137157],['Another Michael'],2020-12-08,19,Another Michael,,1137157,,2264.0,26866.0,8.42700811434527,,,
57,2021-02-04,32671238,Middle Child,[473474],['Nervous Dater'],2021-01-26,19,Nervous Dater,,473474,,5119.0,9850.0,51.96954314720812,,,
