index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age
37,38,2021-03-09,Big Gangsta,Kevin Gates,USAT21902781,-0.7142857142857142,23166277.0,81,"['2019-05-17T00:00:00.000Z', '2019-05-17T00:00:00.000Z', '2019-05-24T00:00:00.000Z', '2019-05-31T00:00:00.000Z']",3342,2020-12-11,3764957.0,over 2 months
38,39,2021-03-09,Caution,KAYTRANADA,USRC12100352,-2.28571428571429,32870431.0,14,"['2021-02-18T00:00:00.000Z', '2021-02-18T00:00:00.000Z']",4563,2021-02-16,792430.0,a month
39,40,2021-03-09,Day 'n' Nite,Kid Cudi,GBCEN0801462,6.428571428571429,12635346.0,101,"['2009-01-01T00:00:00.000Z', '2009-07-14T00:00:00.000Z', '2011-06-10T00:00:00.000Z', '2010-10-18T00:00:00.000Z', '2009-06-29T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2011-10-07T00:00:00.000Z', '2011-03-11T00:00:00.000Z', '2009-03-13T00:00:00.000Z', '2009-05-15T00:00:00.000Z', '2009-11-20T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2010-09-09T00:00:00.000Z', '2008-12-05T00:00:00.000Z', '2009-04-16T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2009-08-03T00:00:00.000Z', '2009-11-06T00:00:00.000Z', '2012-01-01T00:00:00.000Z', '2009-06-19T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2012-01-01T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2011-01-08T00:00:00.000Z', '2014-01-01T00:00:00.000Z', '2009-11-17T00:00:00.000Z', '2010-12-17T00:00:00.000Z', '2009-01-12T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-05-06T00:00:00.000Z', '2012-01-27T00:00:00.000Z', '2009-07-27T00:00:00.000Z', '2012-01-01T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-06-23T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2010-01-01T00:00:00.000Z', '2009-03-13T00:00:00.000Z', '2015-11-27T00:00:00.000Z', '2008-11-28T00:00:00.000Z', '2012-10-26T00:00:00.000Z', '2014-08-18T00:00:00.000Z', '2009-03-27T00:00:00.000Z', '2014-06-30T00:00:00.000Z', '2009-05-15T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-02-16T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-03T00:00:00.000Z']",3213,2020-11-21,4156972.0,over 2 months
40,41,2021-03-09,Pesetas,Rilès,TCADC1725047,,14418667.0,5,['2017-05-29T00:00:00.000Z'],572457,2021-02-25,661076.0,a month
42,43,2021-03-09,Reloj,Rauw Alejandro,USSD12000471,,31750071.0,5,"['2020-10-22T00:00:00.000Z', '2020-11-13T00:00:00.000Z']",224838,2021-02-25,3866923.0,a month
43,44,2021-03-09,Lady So Coy,Thang Roy,GBLLT2109075,5.571428571428571,33042295.0,11,['2021-02-23T00:00:00.000Z'],4282312,2021-02-19,,a month
44,45,2021-03-09,Heartbreak Anniversary,Giveon,USSM12000998,8.0,28541554.0,83,"['2020-02-21T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-03-27T00:00:00.000Z']",1202489,2020-12-09,360241.0,over 2 months
45,46,2021-03-09,It's Not The Same Anymore,Rex Orange County,USRC11902536,-0.28571428571428603,26607442.0,30,['2019-10-25T00:00:00.000Z'],213819,2021-01-31,2699796.0,a month
46,47,2021-03-09,M4,Teto,BXW922000017,-0.5714285714285711,32602422.0,27,['2021-01-20T00:00:00.000Z'],3642054,2021-02-03,89847.0,a month
47,48,2021-03-09,Madan (Siren Jam),Haska,GBUM72000679,-1.7142857142857097,28735101.0,34,['2020-03-13T00:00:00.000Z'],3590168,2021-01-27,563.0,2 months
